stores_id,Name,store_url
650,Gumbok Gà Rán Hàn Quốc - Vũ Phạm Hàm,https://shopeefood.vn/ha-noi/gumbok-ga-ran-han-quoc-vu-pham-ham
651,Bánh Mỳ Thịt Nướng - Nước Ép Nguyên Chất,https://shopeefood.vn/ha-noi/banh-my-thit-nuong-nuoc-ep-nguyen-chat
652,Gà Không Lối Thoát - Mẹt Gà Tuyển,https://shopeefood.vn/ha-noi/ga-khong-loi-thoat-met-ga-tuyen
653,Tam Hoa - Nem Nướng Nha Trang & Bún Trộn Nam Bộ - Ỷ La,https://shopeefood.vn/ha-noi/tam-hoa-nem-nuong-nha-trang-bun-tron-nam-bo-y-la.dfqpew
654,Lòng Ngon Quán - Định Công,https://shopeefood.vn/ha-noi/long-ngon-quan-dinh-cong
655,"Lạ Coffee - Sinh Tố, Cà Phê & Nước Ép",https://shopeefood.vn/ha-noi/la-coffee-sinh-to-ca-phe-nuoc-ep
656,Bánh Đa Cua & Bún Cá Cay Chất Cảng - 245 Tô Hiệu,https://shopeefood.vn/ha-noi/banh-da-cua-bun-ca-cay-chat-cang-245-to-hieu
657,Quán Ông Dũng - Bún Riêu Ốc & Mỳ Chua Cay,https://shopeefood.vn/ha-noi/quan-ong-dung-bun-rieu-oc-my-chua-cay
658,EY YOGURT - Sữa Chua Thủ Công Kéo Sợi,https://shopeefood.vn/ha-noi/ey-yogurt-sua-chua-thu-cong-keo-soi
659,Mỳ Cay & Cơm Chiên - Ăn Vặt Tiệm 1991,https://shopeefood.vn/ha-noi/my-cay-com-chien-an-vat-tiem-1991
660,Thaolun - Bún Sườn Bò Hầm - Nghi Tàm,https://shopeefood.vn/ha-noi/thaolun-bun-suon-bo-ham-nghi-tam
661,"Bình Food - Mì Indomie, Bánh Mì & Đồ Ăn Vặt",https://shopeefood.vn/ha-noi/binh-food-mi-indomie-banh-mi-do-an-vat
662,Sweetie Cake,https://shopeefood.vn/ha-noi/sweetie-cake
663,Bé Ớt Quán - Xã Đàn,https://shopeefood.vn/ha-noi/be-ot-quan-xa-dan
664,Nước Ép Sinh Tố - Trần Quý Cáp,https://shopeefood.vn/ha-noi/nuoc-ep-sinh-to-tran-quy-cap
665,"Meo Food - Mỳ Cay, Bánh Tráng & Đồ Ăn Vặt",https://shopeefood.vn/ha-noi/meo-food-my-cay-banh-trang-do-an-vat
666,Trà Sữa Rosier - Fresh Tea & Coffee - Tô Hiến Thành,https://shopeefood.vn/ha-noi/tra-sua-rosier-fresh-tea-coffee-to-hien-thanh
667,Tú Vịt - Vịt Nướng Vân Đình- Đồng Me,https://shopeefood.vn/ha-noi/tu-vit-vit-nuong-van-dinh-dong-me
668,Bún Đậu Sóc Béo – Phúc Đồng,https://shopeefood.vn/ha-noi/bun-dau-soc-beo-phuc-dong
669,Nem Nướng & Mì Trộn - Bếp Nhà Bắp,https://shopeefood.vn/ha-noi/nem-nuong-mi-tron-bep-nha-bap
670,Nem Nướng Nha Trang H2O - Xuân La,https://shopeefood.vn/ha-noi/nem-nuong-nha-trang-h2o-xuan-la
671,Karma Tea Club - 53 Nguyễn Văn Tuyết,https://shopeefood.vn/ha-noi/karma-tea-club-53-nguyen-van-tuyet
672,Bánh Canh Sườn Heo - Mỳ Bò Đức Nhật,https://shopeefood.vn/ha-noi/banh-canh-suon-heo-my-bo-duc-nhat
673,Trà Sữa & Trà Hoa Quả Pozaa Tea - 95 Trần Quốc Vượng,https://shopeefood.vn/ha-noi/tra-sua-tra-hoa-qua-pozaa-tea-95-tran-quoc-vuong
